"Year","Wins","Points","Opponents Points"
2014-12-31,0,20,23
2013-12-31,8,445,478
2012-12-31,10,375,277
2011-12-31,8,353,341
2010-12-31,11,334,286
2009-12-31,7,327,375
2008-12-31,9,375,350
2007-12-31,7,334,348
2006-12-31,13,427,255
2005-12-31,11,260,202
2004-12-31,5,231,331
2003-12-31,7,283,346
2002-12-31,4,281,379
2001-12-31,13,338,203
2000-12-31,5,216,355
1999-12-31,6,272,341
1998-12-31,4,276,368
1997-12-31,4,263,421
1996-12-31,7,283,305
1995-12-31,9,392,360
1994-12-31,9,271,307
1993-12-31,7,234,230
1992-12-31,5,295,361
1991-12-31,11,299,269
1990-12-31,11,348,280
1989-12-31,6,358,377
1988-12-31,12,312,215
1987-12-31,11,356,282
1986-12-31,14,352,187
1985-12-31,15,456,198
1984-12-31,10,325,248
1983-12-31,8,311,301
1982-12-31,3,141,174
1981-12-31,6,253,324
1980-12-31,7,304,264
1979-12-31,10,306,249
1978-12-31,7,253,274
1977-12-31,9,255,253
1976-12-31,7,253,216
1975-12-31,4,191,379
1974-12-31,4,152,279
1973-12-31,3,195,334
1972-12-31,4,225,275
1971-12-31,6,185,276
1970-12-31,6,256,261
1969-12-31,1,210,339
1968-12-31,7,250,333
1967-12-31,7,239,218
1966-12-31,5,234,272
